전월세구분,dong,도로명,계약면적(㎡),계약년월,계약일,보증금(만원),월세(만원),건축년도,loc,x,y,번지,번지.1,번지.1.1,번지.1.1.1,번지.1.1.1.1,번지.1.1.1.1.1,번지.1.1.1.1.1.1,번지
월세,고랑동,여산로,90.0,202012.0,4.0,12500.0,20.0,2013.0,전북 전주시 고랑동 여산로,127.084249626,35.873475859,1,1,1,1,1,1,1,1
월세,고랑동,쪽구름5길,33.0,202010.0,6.0,300.0,25.0,2014.0,전북 전주시 고랑동 쪽구름5길,127.07695085200001,35.876593435,1,1,1,1,1,1,1,1
월세,금암동,거북바우3길,58.59,202011.0,16.0,7000.0,15.0,,전북 전주시 금암동 거북바우3길,127.138519646,35.837836218,1,1,1,1,1,1,1,1
월세,금암동,거북바우로,70.31,202006.0,5.0,2500.0,15.0,1991.0,전북 전주시 금암동 거북바우로,127.143071245,35.838567039000004,1,1,1,1,1,1,1,1
월세,금암동,건산로,125.61,202103.0,1.0,1000.0,20.0,,전북 전주시 금암동 건산로,127.138352552,35.833160563,1,1,1,1,1,1,1,1
월세,금암동,건지1길,54.325,202010.5,10.5,1650.0,47.5,2015.5,전북 전주시 금암동 건지1길,127.140016885,35.843800342,2,2,2,2,2,2,2,2
월세,금암동,건지2길,26.59666667,202039.6667,19.33333333,2166.666667,19.33333333,2007.0,전북 전주시 금암동 건지2길,127.141427075,35.844227176,3,3,3,3,3,3,3,3
월세,금암동,건지로,30.35,202078.75,22.75,775.0,32.75,2013.75,전북 전주시 금암동 건지로,127.140425008,35.847715016,4,4,4,4,4,4,4,4
월세,금암동,권삼득로,33.48871795,202044.5128,15.1025641,1912.820513,28.53846154,2014.322581,전북 전주시 금암동 권삼득로,127.138785089,35.833575944,39,39,39,39,39,39,39,39
월세,금암동,금암1길,30.78142857,202049.5714,10.28571429,1600.0,31.42857143,2017.8,전북 전주시 금암동 금암1길,127.13377712399999,35.840070694,7,7,7,7,7,7,7,7
월세,금암동,금암2길,32.8,202101.6,17.8,400.0,39.0,2014.75,전북 전주시 금암동 금암2길,127.13431261,35.840350763000004,5,5,5,5,5,5,5,5
월세,금암동,금암3길,50.45466667,202076.6667,18.13333333,1386.666667,39.66666667,2011.266667,전북 전주시 금암동 금암3길,127.13792837,35.841436011999996,15,15,15,15,15,15,15,15
월세,금암동,금암4길,35.39625,202068.125,15.875,2262.5,31.625,2015.285714,전북 전주시 금암동 금암4길,127.129037668,35.837816116,8,8,8,8,8,8,8,8
월세,금암동,금암5길,33.80714286,202041.8571,21.21428571,1621.4285710000001,27.78571429,2012.2222219999999,전북 전주시 금암동 금암5길,127.13686151899999,35.83868234,14,14,14,14,14,14,14,14
월세,금암동,금암6길,34.415,202078.5,14.0,2575.0,31.25,2018.0,전북 전주시 금암동 금암6길,127.13573840299999,35.837914298,4,4,4,4,4,4,4,4
월세,금암동,기린대로,36.63625,202040.625,16.04166667,1454.583333,34.20833333,2012.2,전북 전주시 금암동 기린대로,127.13312199200001,35.837431476999996,24,24,24,24,24,24,24,24
월세,금암동,떡전1길,37.175,202055.1667,17.0,6250.0,10.5,,전북 전주시 금암동 떡전1길,127.127058222,35.835040950999996,6,6,6,6,6,6,6,6
월세,금암동,떡전3길,37.72857143,202022.8571,16.42857143,2085.714286,33.14285714,2017.0,전북 전주시 금암동 떡전3길,127.12791742700001,35.837564115,7,7,7,7,7,7,7,7
월세,금암동,떡전4길,34.64882353,202041.2353,15.17647059,2182.352941,27.94117647,2012.125,전북 전주시 금암동 떡전4길,127.129037668,35.837816116,17,17,17,17,17,17,17,17
월세,금암동,떡전5길,163.96,202008.5,15.5,6500.0,37.5,2012.0,전북 전주시 금암동 떡전5길,127.12999742,35.838612672,2,2,2,2,2,2,2,2
월세,금암동,떡전로,50.65833333,202024.3333,18.16666667,2616.666667,30.0,2006.0,전북 전주시 금암동 떡전로,127.12767110600001,35.835631446,6,6,6,6,6,6,6,6
월세,금암동,매봉11길,29.88,202012.0,9.0,300.0,17.0,1987.0,전북 전주시 금암동 매봉11길,127.142610789,35.840082279,1,1,1,1,1,1,1,1
월세,금암동,매봉15길,45.295,202056.5,15.5,200.0,26.5,2015.5,전북 전주시 금암동 매봉15길,127.14215059,35.838986452,2,2,2,2,2,2,2,2
월세,금암동,매봉16길,38.27666667,202072.0,17.66666667,1600.0,34.66666667,2015.0,전북 전주시 금암동 매봉16길,127.140849665,35.838477265,3,3,3,3,3,3,3,3
월세,금암동,매봉1길,29.16666667,202050.3889,16.77777778,777.7777778,32.83333333,2003.7777780000001,전북 전주시 금암동 매봉1길,127.141464586,35.842383584000004,18,18,18,18,18,18,18,18
월세,금암동,매봉2길,28.33333333,202071.0,18.66666667,1900.0,25.33333333,1998.6666670000002,전북 전주시 금암동 매봉2길,127.14045611700001,35.841961397,3,3,3,3,3,3,3,3
월세,금암동,매봉3길,33.0,202053.5,20.5,600.0,32.0,2017.5,전북 전주시 금암동 매봉3길,127.14183562,35.842197327,2,2,2,2,2,2,2,2
월세,금암동,매봉4길,17.0,202004.0,18.0,200.0,20.0,,전북 전주시 금암동 매봉4길,127.13991995,35.841929836999995,1,1,1,1,1,1,1,1
월세,금암동,매봉6길,44.4,202045.0,11.4,4300.0,29.6,2008.0,전북 전주시 금암동 매봉6길,127.140781944,35.841092517,5,5,5,5,5,5,5,5
월세,금암동,매봉7길,77.81,202006.0,15.0,2000.0,25.0,1997.0,전북 전주시 금암동 매봉7길,127.142193618,35.841018573,1,1,1,1,1,1,1,1
월세,금암동,매봉8길,55.51,202055.5,17.0,3250.0,17.5,2012.0,전북 전주시 금암동 매봉8길,127.14021404399999,35.84062367,2,2,2,2,2,2,2,2
월세,금암동,매봉로,45.0,202102.0,14.0,300.0,35.0,2010.0,전북 전주시 금암동 매봉로,127.142075725,35.839132824,1,1,1,1,1,1,1,1
월세,금암동,명륜1길,27.48,202026.4,17.4,220.0,36.0,2019.0,전북 전주시 금암동 명륜1길,127.12954966,35.840607856,5,5,5,5,5,5,5,5
월세,금암동,명륜2길,22.5,202102.5,5.0,1100.0,25.0,2009.0,전북 전주시 금암동 명륜2길,127.12844287899999,35.841331976,2,2,2,2,2,2,2,2
월세,금암동,모래내1길,45.32,202035.0,10.85714286,3357.142857,18.71428571,2013.142857,전북 전주시 금암동 모래내1길,127.13987967899999,35.834247517,7,7,7,7,7,7,7,7
월세,금암동,모래내2길,39.6,202103.0,22.0,500.0,17.0,2002.0,전북 전주시 금암동 모래내2길,127.140223705,35.834324812,1,1,1,1,1,1,1,1
월세,금암동,모래내3길,50.0,202012.0,20.0,300.0,20.0,1988.0,전북 전주시 금암동 모래내3길,127.141856638,35.833782037,1,1,1,1,1,1,1,1
월세,금암동,모래내5길,19.8,202011.0,2.0,200.0,14.0,1976.0,전북 전주시 금암동 모래내5길,127.143658035,35.834736519,1,1,1,1,1,1,1,1
월세,금암동,모래내8길,26.44,202009.0,5.0,100.0,20.0,1998.0,전북 전주시 금암동 모래내8길,127.14435240700001,35.835700706,1,1,1,1,1,1,1,1
월세,금암동,백제대로,28.0,202008.3333,16.0,983.3333332999997,33.5,2016.5,전북 전주시 금암동 백제대로,127.131381799,35.839743593,6,6,6,6,6,6,6,6
월세,금암동,삼송1길,23.255,202066.75,21.25,412.5,29.75,2012.875,전북 전주시 금암동 삼송1길,127.13281059200001,35.841477741999995,8,8,8,8,8,8,8,8
월세,금암동,삼송2길,24.0,202102.0,7.0,3000.0,23.0,2005.0,전북 전주시 금암동 삼송2길,127.134683556,35.842346089,1,1,1,1,1,1,1,1
월세,금암동,삼송3길,13.29,202057.0,18.5,250.0,30.0,2016.5,전북 전주시 금암동 삼송3길,127.135233414,35.84210187,2,2,2,2,2,2,2,2
월세,금암동,삼송5길,25.951999999999998,202064.8,26.4,360.0,31.0,2009.5,전북 전주시 금암동 삼송5길,127.13790060299999,35.842917881,5,5,5,5,5,5,5,5
월세,금암동,용산1길,76.375,202008.25,21.25,3257.5,24.5,2009.75,전북 전주시 금암동 용산1길,127.130428688,35.835247835,4,4,4,4,4,4,4,4
월세,금암동,용산3길,45.0,202008.0,12.0,3500.0,25.0,2012.0,전북 전주시 금암동 용산3길,127.13207936100001,35.83658824,1,1,1,1,1,1,1,1
월세,금암동,전주천동로,120.0,202011.0,11.0,13500.0,20.0,2015.0,전북 전주시 금암동 전주천동로,127.12949251299999,35.836018576,1,1,1,1,1,1,1,1
월세,금암동,조경단로,45.29166667,202040.5,15.16666667,1250.0,35.16666667,2009.1666670000002,전북 전주시 금암동 조경단로,127.136126715,35.846297158,6,6,6,6,6,6,6,6
월세,금암동,태진로,90.31,202010.0,15.0,3000.0,20.0,1984.0,전북 전주시 금암동 태진로,127.13531687,35.832295425,1,1,1,1,1,1,1,1
월세,금암동,팔달로,28.01,202008.5,19.5,2350.0,20.5,1974.0,전북 전주시 금암동 팔달로,127.13612392799999,35.833116800999996,2,2,2,2,2,2,2,2
월세,덕진동1가,가리내로,57.51,202010.0,13.0,5000.0,10.0,,전북 전주시 덕진동1가 가리내로,127.12490716100001,35.835315916,1,1,1,1,1,1,1,1
월세,덕진동1가,권삼득로,27.48,202042.0,24.66666667,1866.6666670000002,23.33333333,2010.5,전북 전주시 덕진동1가 권삼득로,127.12684831899999,35.844082205999996,3,3,3,3,3,3,3,3
월세,덕진동1가,기린대로,30.0,202011.0,17.0,300.0,26.0,,전북 전주시 덕진동1가 기린대로,127.127937503,35.84160918,1,1,1,1,1,1,1,1
월세,덕진동1가,덕진광장로,85.685,202054.0,4.5,560.0,20.0,1982.5,전북 전주시 덕진동1가 덕진광장로,127.125000091,35.844159432,2,2,2,2,2,2,2,2
월세,덕진동1가,덕진연못1길,26.26666667,202071.3333,14.66666667,1233.333333,20.66666667,2000.3333329999998,전북 전주시 덕진동1가 덕진연못1길,127.12375509399999,35.844712912,3,3,3,3,3,3,3,3
월세,덕진동1가,들사평1길,45.50899999999999,202055.9,13.7,2100.0,20.4,1997.4285710000001,전북 전주시 덕진동1가 들사평1길,127.120410029,35.839094246,10,10,10,10,10,10,10,10
월세,덕진동1가,들사평2길,42.69230769,202014.4615,17.23076923,2615.384615,32.84615385,2016.1538460000002,전북 전주시 덕진동1가 들사평2길,127.121058534,35.840474198,13,13,13,13,13,13,13,13
월세,덕진동1가,들사평3길,42.17533333,202045.4,17.13333333,1880.0,37.66666667,2017.214286,전북 전주시 덕진동1가 들사평3길,127.12288850200001,35.840647705,15,15,15,15,15,15,15,15
월세,덕진동1가,들사평4길,37.39083333,202086.1667,16.16666667,575.0,39.25,2011.5833329999998,전북 전주시 덕진동1가 들사평4길,127.123790814,35.840942518,12,12,12,12,12,12,12,12
월세,덕진동1가,들사평5길,29.575,202057.25,14.5,225.0,33.25,2009.6666670000002,전북 전주시 덕진동1가 들사평5길,127.12382814,35.842463347,4,4,4,4,4,4,4,4
월세,덕진동1가,들사평로,47.75,202030.0,17.0,750.0,40.75,2004.25,전북 전주시 덕진동1가 들사평로,127.121555609,35.838273070999996,4,4,4,4,4,4,4,4
월세,덕진동1가,들사평서로,57.12,202053.75,13.75,2725.0,40.75,2007.25,전북 전주시 덕진동1가 들사평서로,127.12193394200001,35.836594774,4,4,4,4,4,4,4,4
월세,덕진동1가,떡전1길,56.2,202102.0,21.0,200.0,25.0,1981.0,전북 전주시 덕진동1가 떡전1길,127.126095366,35.835578894,1,1,1,1,1,1,1,1
월세,덕진동1가,떡전2길,65.57333333,202039.0,18.0,4333.333333,46.66666667,2003.3333329999998,전북 전주시 덕진동1가 떡전2길,127.12591365600001,35.836148903,3,3,3,3,3,3,3,3
월세,덕진동1가,떡전로,72.385,202055.0,19.0,4750.0,29.0,2019.0,전북 전주시 덕진동1가 떡전로,127.127064755,35.835594576,2,2,2,2,2,2,2,2
월세,덕진동1가,명륜2길,25.0,202040.0,22.33333333,266.6666667,34.33333333,2015.0,전북 전주시 덕진동1가 명륜2길,127.128487611,35.84164708,3,3,3,3,3,3,3,3
월세,덕진동1가,명륜4길,25.0,202005.0,14.0,200.0,30.0,2011.0,전북 전주시 덕진동1가 명륜4길,127.12664997,35.842581243000005,1,1,1,1,1,1,1,1
월세,덕진동1가,명륜5길,33.0,202101.0,23.0,1500.0,31.5,2011.0,전북 전주시 덕진동1가 명륜5길,127.12550645,35.843161843000004,2,2,2,2,2,2,2,2
월세,덕진동1가,사평1길,35.33333333,202070.3333,9.333333332999999,866.6666667000003,42.66666667,2014.3333329999998,전북 전주시 덕진동1가 사평1길,127.12040864299999,35.84116243,3,3,3,3,3,3,3,3
월세,덕진동1가,사평3길,35.7975,202032.75,13.25,250.0,31.5,2009.0,전북 전주시 덕진동1가 사평3길,127.122372057,35.844178576,4,4,4,4,4,4,4,4
월세,덕진동1가,사평로,30.0,202102.0,17.0,200.0,33.0,2011.0,전북 전주시 덕진동1가 사평로,127.118666225,35.83855955,1,1,1,1,1,1,1,1
월세,덕진동2가,가련산로,113.39,202010.0,12.0,15000.0,10.0,2011.0,전북 전주시 덕진동2가 가련산로,127.110552732,35.84066652,1,1,1,1,1,1,1,1
월세,덕진동2가,가리내10길,69.18,202030.75,16.0,3175.0,44.0,2013.0,전북 전주시 덕진동2가 가리내10길,127.11055699100001,35.842221169,4,4,4,4,4,4,4,4
월세,덕진동2가,가리내1길,51.19666667,202024.0,18.5,3716.666667,29.5,2013.2,전북 전주시 덕진동2가 가리내1길,127.111546546,35.847175688,6,6,6,6,6,6,6,6
월세,덕진동2가,가리내2길,51.31571429,202034.2857,16.0,3678.571429,24.0,2012.076923,전북 전주시 덕진동2가 가리내2길,127.11138765,35.846811646,14,14,14,14,14,14,14,14
월세,덕진동2가,가리내3길,51.00730769,202030.0385,18.23076923,3792.3076920000003,25.38461538,2012.6521739999998,전북 전주시 덕진동2가 가리내3길,127.111423886,35.846416557,26,26,26,26,26,26,26,26
월세,덕진동2가,가리내4길,40.98666667,202071.0,20.0,1933.3333329999998,35.66666667,2015.3333329999998,전북 전주시 덕진동2가 가리내4길,127.110352351,35.846118524,3,3,3,3,3,3,3,3
월세,덕진동2가,가리내5길,53.66363636,202042.2727,16.45454545,3227.272727,34.27272727,2013.0,전북 전주시 덕진동2가 가리내5길,127.111238254,35.847362983000004,11,11,11,11,11,11,11,11
월세,덕진동2가,가리내6길,53.285,202035.9583,16.29166667,2729.166667,37.45833333,2014.136364,전북 전주시 덕진동2가 가리내6길,127.11041077,35.845073825,24,24,24,24,24,24,24,24
월세,덕진동2가,가리내7길,57.65333333,202071.0,16.0,8000.0,13.33333333,2013.3333329999998,전북 전주시 덕진동2가 가리내7길,127.11108826200001,35.847424575,3,3,3,3,3,3,3,3
월세,덕진동2가,가리내8길,52.35375,202022.5,15.16666667,3750.0,30.625,2014.0476190000002,전북 전주시 덕진동2가 가리내8길,127.111629783,35.843399782,24,24,24,24,24,24,24,24
월세,덕진동2가,가리내9길,75.152,202066.0,15.4,5300.0,45.0,2014.5,전북 전주시 덕진동2가 가리내9길,127.110918565,35.847512503000004,5,5,5,5,5,5,5,5
월세,덕진동2가,경동로,33.0,202103.0,23.0,500.0,28.0,2011.0,전북 전주시 덕진동2가 경동로,127.106600124,35.843838667,1,1,1,1,1,1,1,1
월세,덕진동2가,권삼득로,35.0,202056.5,14.25,200.0,34.5,2013.75,전북 전주시 덕진동2가 권삼득로,127.12684831899999,35.844082205999996,4,4,4,4,4,4,4,4
월세,덕진동2가,기린대로,48.36600000000001,202025.8,10.4,2980.0,25.0,2014.0,전북 전주시 덕진동2가 기린대로,127.127937503,35.84160918,5,5,5,5,5,5,5,5
월세,덕진동2가,하가1길,42.3775,202079.25,12.5,2250.0,29.25,2019.5,전북 전주시 덕진동2가 하가1길,127.11573071,35.847531223000004,4,4,4,4,4,4,4,4
월세,덕진동2가,하가3길,94.91,202053.0,17.5,750.0,25.0,1988.0,전북 전주시 덕진동2가 하가3길,127.114448439,35.848082969000004,2,2,2,2,2,2,2,2
월세,덕진동2가,하가로,44.88454545,202024.0,14.18181818,3095.454545,23.0,2015.1,전북 전주시 덕진동2가 하가로,127.112996097,35.84845454,11,11,11,11,11,11,11,11
월세,덕진동2가,호반2길,33.88,202031.75,18.75,2200.0,26.25,2017.0,전북 전주시 덕진동2가 호반2길,127.11901957100001,35.84961788,4,4,4,4,4,4,4,4
월세,덕진동2가,호반4길,35.43,202011.0,30.0,5000.0,10.0,,전북 전주시 덕진동2가 호반4길,127.11847905299999,35.850437055,1,1,1,1,1,1,1,1
월세,덕진동2가,호반5길,33.55166667,202023.5,14.0,3600.0,18.66666667,2016.3333329999998,전북 전주시 덕진동2가 호반5길,127.115784085,35.849456759,6,6,6,6,6,6,6,6
월세,덕진동2가,호반6길,56.87866667,202032.5333,15.33333333,1966.6666670000002,34.0,2005.1666670000002,전북 전주시 덕진동2가 호반6길,127.11767507399999,35.850716739,15,15,15,15,15,15,15,15
월세,덕진동2가,호반7길,27.5,202102.0,20.0,250.0,30.0,2012.0,전북 전주시 덕진동2가 호반7길,127.114495393,35.850328947,2,2,2,2,2,2,2,2
월세,덕진동2가,호반8길,60.54,202024.3333,17.5,575.0,36.16666667,2012.2,전북 전주시 덕진동2가 호반8길,127.115445299,35.851148912,6,6,6,6,6,6,6,6
월세,만성동,두현길,32.58,202047.7143,12.78571429,1200.0,32.78571429,2017.0714289999999,전북 전주시 만성동 두현길,127.073257128,35.832020029,14,14,14,14,14,14,14,14
월세,만성동,만성남2길,67.52833333,202070.8333,13.66666667,2800.0,54.16666667,2019.2,전북 전주시 만성동 만성남2길,127.07177461799999,35.839299716,6,6,6,6,6,6,6,6
월세,만성동,만성남5길,85.0,202009.5,20.0,6500.0,38.5,2017.0,전북 전주시 만성동 만성남5길,127.07256909,35.84079154,2,2,2,2,2,2,2,2
월세,만성동,만성남6길,90.0,202103.0,5.0,3000.0,77.0,2018.0,전북 전주시 만성동 만성남6길,127.072327137,35.839644987,1,1,1,1,1,1,1,1
월세,만성동,만성남7길,56.93,202005.0,17.0,3000.0,50.0,2017.5,전북 전주시 만성동 만성남7길,127.072232056,35.839220773,2,2,2,2,2,2,2,2
월세,만성동,만성남8길,96.44,202101.0,4.0,10000.0,70.0,2021.0,전북 전주시 만성동 만성남8길,127.07266282799999,35.839051363,1,1,1,1,1,1,1,1
월세,만성동,만성남9길,65.005,202056.5,16.0,1000.0,57.5,2018.5,전북 전주시 만성동 만성남9길,127.073047858,35.838871071999996,2,2,2,2,2,2,2,2
월세,만성동,만성남로,60.0,202103.0,13.0,6000.0,40.0,2017.0,전북 전주시 만성동 만성남로,127.071197743,35.840262668,1,1,1,1,1,1,1,1
월세,만성동,만성로,53.74,202007.0,16.0,8500.0,30.0,2016.0,전북 전주시 만성동 만성로,127.07258206799999,35.842151062,1,1,1,1,1,1,1,1
월세,만성동,만성북1길,75.26166667,202025.8333,19.16666667,5916.666667,45.33333333,2019.0,전북 전주시 만성동 만성북1길,127.076978434,35.8493213,6,6,6,6,6,6,6,6
월세,만성동,만성북2길,66.2575,202056.75,19.0,7300.0,45.0,2019.75,전북 전주시 만성동 만성북2길,127.075495948,35.84940554,4,4,4,4,4,4,4,4
월세,만성동,만성북3길,54.27,202103.0,14.0,8000.0,25.0,,전북 전주시 만성동 만성북3길,127.076000619,35.848637047,1,1,1,1,1,1,1,1
월세,만성동,만성북로,53.38,202102.0,23.0,1000.0,60.0,,전북 전주시 만성동 만성북로,127.07764388,35.851492391,1,1,1,1,1,1,1,1
월세,만성동,만성중앙로,64.14,202055.0,12.0,4000.0,60.0,2019.5,전북 전주시 만성동 만성중앙로,127.073463858,35.844470108,2,2,2,2,2,2,2,2
월세,만성동,월방1길,100.8733333,202009.3333,13.0,9666.666667,41.66666667,2015.6666670000002,전북 전주시 만성동 월방1길,127.069411593,35.833450155,3,3,3,3,3,3,3,3
월세,만성동,월방2길,132.0,202008.0,4.0,19000.0,10.0,2020.0,전북 전주시 만성동 월방2길,127.071942434,35.833401294,1,1,1,1,1,1,1,1
월세,만성동,월방3길,61.68571429,202035.7143,20.42857143,2428.571429,42.85714286,2016.3333329999998,전북 전주시 만성동 월방3길,127.069948508,35.834675456,7,7,7,7,7,7,7,7
월세,만성동,월방5길,94.46,202004.0,13.0,10000.0,35.0,2019.0,전북 전주시 만성동 월방5길,127.072191626,35.834448415,1,1,1,1,1,1,1,1
월세,만성동,월방6길,102.69666670000001,202009.3333,15.66666667,10500.0,38.33333333,2017.5,전북 전주시 만성동 월방6길,127.07194941899999,35.835495073000004,3,3,3,3,3,3,3,3
월세,만성동,월방7길,102.09,202057.0,5.5,15500.0,17.5,2018.0,전북 전주시 만성동 월방7길,127.073009034,35.835658023,2,2,2,2,2,2,2,2
월세,만성동,월방8길,106.2125,202006.75,17.5,11250.0,30.0,2017.75,전북 전주시 만성동 월방8길,127.07339987200001,35.836588932,4,4,4,4,4,4,4,4
월세,반월동,반월4길,35.4,202004.0,24.0,6000.0,10.0,2017.0,전북 전주시 반월동 반월4길,127.072011946,35.875177263000005,1,1,1,1,1,1,1,1
월세,산정동,건산로,65.0,202040.0,11.0,5300.0,39.33333333,2017.0,전북 전주시 산정동 건산로,127.16932745700001,35.836618032,3,3,3,3,3,3,3,3
월세,산정동,산정2길,50.66666667,202008.6667,11.66666667,1166.666667,45.0,2019.0,전북 전주시 산정동 산정2길,127.169261606,35.837238891,3,3,3,3,3,3,3,3
월세,산정동,아중천1길,40.0,202012.0,30.0,200.0,30.0,,전북 전주시 산정동 아중천1길,127.17299518799999,35.83431393,1,1,1,1,1,1,1,1
월세,산정동,아중천2길,46.53272727,202042.8182,19.18181818,3154.545455,26.27272727,2011.0,전북 전주시 산정동 아중천2길,127.170938852,35.836379949,11,11,11,11,11,11,11,11
월세,송천동1가,두간11길,84.7,202006.0,24.0,4000.0,40.0,2011.0,전북 전주시 송천동1가 두간11길,127.11504257200001,35.864314416999996,1,1,1,1,1,1,1,1
월세,송천동1가,두간3길,59.4,202008.0,23.0,500.0,40.0,2013.0,전북 전주시 송천동1가 두간3길,127.11994372,35.864732833000005,1,1,1,1,1,1,1,1
월세,송천동1가,두간9길,109.0,202010.0,26.0,7000.0,30.0,2013.0,전북 전주시 송천동1가 두간9길,127.11560593799999,35.864897688,1,1,1,1,1,1,1,1
월세,송천동1가,사근1길,30.0,202103.0,6.0,300.0,40.0,2016.0,전북 전주시 송천동1가 사근1길,127.128148113,35.866453581,1,1,1,1,1,1,1,1
월세,송천동1가,솔내1길,49.76454545,202037.9545,19.36363636,3081.818182,27.54545455,2009.785714,전북 전주시 송천동1가 솔내1길,127.121266726,35.852223496,22,22,22,22,22,22,22,22
월세,송천동1가,솔내2길,52.23307692,202023.2308,17.30769231,2114.461538,28.30769231,2013.5,전북 전주시 송천동1가 솔내2길,127.120983076,35.853258699,13,13,13,13,13,13,13,13
월세,송천동1가,솔내3길,50.0,202009.0,28.0,300.0,30.0,2011.0,전북 전주시 송천동1가 솔내3길,127.12169896799999,35.853725271,1,1,1,1,1,1,1,1
월세,송천동1가,솔내4길,42.258,202027.2,15.4,1200.0,30.4,2017.0,전북 전주시 송천동1가 솔내4길,127.12136201700001,35.856049373000005,5,5,5,5,5,5,5,5
