house_amount,park,river,cctv,pol,conv,bus,bus_stop,pharmacy,mono_avg_deposit_month,mono_avg_deposit_all,mono_avg_fee_month,mono_total_count_month,mono_total_count_all,row_avg_deposit_month,row_avg_deposit_all,row_avg_fee_month,row_total_count_month,row_total_count_all,office_avg_deposit_month,office_avg_deposit_all,office_avg_fee_month,office_total_count_month,office_total_count_all,result,result_normalize
0.009280742,0,0.333333333,0.15625,0,0.055555556,0.073732719,0.269230769,0,0.095677,0.220638771,0.448163265,0.011111111,0.036649215,0,0,0,0,0,0,0,0,0,0,2.084312085,0.19171083
0.79350348,0,0.333333333,0.890625,0,0.444444444,0.124423963,0.615384615,0.806451613,0.128077296,0.305708764,0.690007203,0.314814815,0.596858639,0.055053887,0.142760885,0.240924092,0.5,0.5,0,0,0,0,0,4.574697335,0.56824643
0.102088167,0,0.666666667,0.65625,0.5,0.222222222,0.129032258,0.807692308,0.419354839,0.131553888,0.356477195,0.597235023,0.114814815,0.12565445,0,0,0,0,0,0,0,0,0,0,3.966825242,0.476338769
0.452436195,0,0.666666667,0.6875,0,0.777777778,0.649769585,0.576923077,0.580645161,0.161371579,0.310571706,0.691572998,0.481481481,0.544502618,0.049863503,0.105439036,0.293429343,0.916666667,0.625,0.380841307,0.50753449,0.715066354,0.362068966,0.028571429,4.961850808,0.62678238
0.257540603,0.5,1,0.453125,0,0.666666667,0.216589862,0.307692308,0.64516129,0.137746927,0.366334175,0.755032354,0.303703704,0.267015707,0.006075573,0.142341167,0.297029703,0.166666667,0.8125,0,0,0,0,0,4.84630414,0.609312218
0.125290023,0,0,0.296875,0.5,0.111111111,0.023041475,0.461538462,0.193548387,0.287227344,0.397599917,0.668334431,0.114814815,0.151832461,0.025938608,0,0.069306931,0.166666667,0,0,0,0,0,0,2.294304222,0.223460743
0.324825986,0,0.333333333,0.609375,1,0.611111111,0.387096774,0.423076923,0.548387097,0.250213201,0.404233011,0.680722135,0.288888889,0.397905759,0.02273416,0.118620343,0.297029703,0.333333333,0.375,0,0,0,0,0,4.883193965,0.614889802
0.290023202,0,0.333333333,0.4375,0.5,0.333333333,0.359447005,0.384615385,0.290322581,0.230012774,0.345406647,0.575685131,0.155555556,0.120418848,0,0.384328856,0,0,0.125,0,0,0,0,0,3.738261549,0.441780916
0.378190255,0,0,0.84375,0.5,0.055555556,0.571428571,0.923076923,0.483870968,0.161567293,0.34037938,0.595358329,0.318518519,0.272251309,0,0,0,0,0,0,0,0,0,0,4.075869728,0.492825829
0.046403712,0,0.333333333,0.25,0.5,0.333333333,0.082949309,0.153846154,0.161290323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.70731001,0.437101176
0.092807425,0.166666667,0.666666667,0.109375,0,0.222222222,0.041474654,0.230769231,0.064516129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.363728764,0.38515316
0.438515081,0.333333333,0.666666667,0.453125,0.5,0.388888889,0.235023041,0.269230769,0.129032258,0.27902986,0.352468725,0.646718995,0.433333333,0.57591623,0.015181358,0.07468851,0.306930693,0.083333333,0.375,0.333555482,0.841881395,0.508196721,0.017241379,0.007142857,4.218835414,0.51444163
0.097447796,0.333333333,0.333333333,0.515625,0,0.111111111,0.552995392,0.230769231,0.451612903,0.049136994,0.194454732,0.586285714,0.037037037,0.020942408,0,0,0,0,0,0,0,0,0,0,3.76003616,0.445073144
0.076566125,0.333333333,0.666666667,0.578125,0.5,0.5,0.474654378,0.692307692,0.967741935,0.070659971,0.283333642,0.710816327,0.02962963,0.052356021,0,0,0,0,0,0.333555482,0.161952571,0.475409836,0.017241379,0.007142857,5.315611141,0.68026943
1,1,0.666666667,1,1,0.555555556,0.147465438,0.692307692,0.741935484,0.120865552,0.338883344,0.560466472,0.259259259,0.397905759,0.030332414,0.474490157,0.653465347,0.083333333,0.0625,0,0,0,0,0,7.430291119,1
0.041763341,0.5,0.333333333,0.46875,0.5,0.111111111,0.502304147,0.576923077,0.161290323,0.069571854,0.291479787,0.455510204,0.033333333,0.078534031,0.030332414,0.138253479,0.306930693,0.083333333,0.125,0,0,0,0,0,4.093470197,0.495486945
0.487238979,0.5,1,0.609375,0,0.444444444,0.170506912,1,0.741935484,0.129053809,0.257561424,0.572693878,0.222222222,0.246073298,0.09698191,0.052731379,0.158415842,0.166666667,0.125,1,0.599017295,0.672131148,0.017241379,0.014285714,5.251753133,0.670614372
0.276102088,0,0.333333333,0.65625,1,0.555555556,0.32718894,0.461538462,0.741935484,0.143840654,0.347602359,0.734797356,0.262962963,0.376963351,0.092424472,0.213690294,0.261386139,0.833333333,0.5625,0,0,0,0,0,5.011727392,0.634323506
0.143851508,0.166666667,0.333333333,0.71875,0,0.166666667,0.073732719,0.423076923,0.096774194,0.179945799,0.323071132,0.612734694,0.166666667,0.35078534,0,0,0,0,0,0,0,0,0,0,2.907094594,0.316112027
0.118329466,0.166666667,0,0.53125,0,0.5,0.368663594,0.423076923,0.741935484,0.188399835,0.298035331,0.551585557,0.144444444,0.178010471,0.208334596,0.282422693,0.185643564,0.333333333,0.4375,0,0,0,0,0,3.686859819,0.434009194
0.139211137,0.166666667,0.333333333,0.390625,0,0.222222222,0.493087558,0.346153846,0.419354839,0.367580856,0.308821078,0.466864564,0.040740741,0.089005236,0.212129935,0.329515108,0.272277228,0.166666667,0.0625,0,0,0,0,0,3.330055335,0.380061882
0.194895592,0.333333333,0.666666667,0.78125,1,0.388888889,0.617511521,0.538461538,0.741935484,0.202214226,0.303988584,0.657334934,0.314814815,0.251308901,0.085611042,0.165540419,0.225247525,0.333333333,0.3125,0,0,0,0,0,5.864932325,0.763324444
0.020881671,0.5,0.666666667,0.28125,0,0.611111111,0.082949309,0.461538462,0.258064516,0.369563642,0.277791152,0.749387755,0.022222222,0.015706806,0.009120936,0.171347329,0.306930693,0.083333333,0.125,0.628371495,0.700294312,0.773770492,0.603448276,0.271428571,3.301971876,0.375815783
0.027842227,0.166666667,0,0.25,0,0.166666667,0.092165899,0.269230769,0.580645161,0.155278963,0.383331285,0.675393586,0.051851852,0.057591623,0,0,0,0,0,0,0,0,0,0,2.453314072,0.247502352
0.118329466,0.166666667,0.666666667,0.859375,0,0.222222222,0.903225806,1,1,0.188844632,0.344015487,0.592276295,0.288888889,0.319371728,0,0,0,0,0,0,0,0,0,0,5.155364901,0.656040883
0.004640371,0.166666667,0.333333333,0.140625,0,0.166666667,0.069124424,0.384615385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.881056462,0.312175172
0.273781903,0.333333333,0.666666667,0.515625,0.5,0.388888889,0.34562212,0.423076923,0.258064516,0.205672625,0.325310264,0.641356712,0.262962963,0.460732984,0.12123875,0.169890989,0.059405941,0.083333333,0.75,0,0,0,0,0,4.43495309,0.547117698
0.881670534,0.666666667,1,0.5,0.5,0.722222222,0.050691244,0.615384615,0.225806452,0.206241939,0.324994537,0.646760204,0.355555556,0.523560209,0,0,0,0,0,0,0,0,0,0,5.694054976,0.737488519
0.002320186,0.166666667,0,0.15625,0,0,0.00921659,0.076923077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.334453442,0.229531133
0.24361949,0,0,0.34375,0.5,0.166666667,0.050691244,0.692307692,0,0.582264539,0.761240889,1,0.1,0.204188482,1,1,1,0.083333333,1,0,0,0,0,0,1.722462861,0.137000774
0.192575406,0,0,0.25,0,0.055555556,0.055299539,0.423076923,0,0.307013407,0.553077412,0.788383046,0.096296296,0.235602094,0,0,0,0,0,0,0,0,0,0,1.458034048,0.097020268
0.002320186,0,0,0.046875,0,0.055555556,0.059907834,0.461538462,0,0,0,0,0,0,0,0,0,0,0,0.333555482,0.828878566,1,0.017241379,0.035714286,2.164658575,0.203858875
0.085846868,0.333333333,0,0.046875,0,0.166666667,0.096774194,0.769230769,0,0.562592931,0.91294976,0.99844898,0.037037037,0.078534031,0,0,0,0,0,0,0,0,0,0,1.168454151,0.053237026
0.039443155,0.333333333,0,0.03125,0,0.222222222,0.02764977,0.192307692,0,1,1,0.83755102,0.007407407,0.015706806,0,0,0,0,0,0,0,0,0,0,0.81634746,0
0.018561485,0,0,0.015625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.034186485,0.184132053
0.053364269,0,0,0.25,0.5,0.166666667,0.299539171,0.5,0.258064516,0.056533774,0.388890946,0.811836735,0.022222222,0.031413613,0,0,0,0,0,0,0,0,0,0,2.659264114,0.278641118
0,0,0,0.125,0,0.111111111,0.023041475,0.153846154,0.096774194,0,0,0,0,0,0.030312213,0.184540058,0.366336634,0.25,0.0625,0,0,0,0,0,2.355926779,0.23277781
0.164733179,0,0.333333333,0.3125,0.5,0.333333333,0.175115207,0.384615385,0.064516129,0.218671652,0.246886539,0.601632653,0.2,0.130890052,0.068194903,0.086991619,0.163366337,0.166666667,0.25,0,0,0,0,0,3.063226877,0.33971856
0.730858469,0.5,0.333333333,0.6875,0,1,0.105990783,0.692307692,0.258064516,0.287554956,0.325952297,0.570788975,0.718518519,0.607329843,0.068351464,0.141834261,0.223322332,0.75,0.8125,0,0,0,0,0,4.75740317,0.595870771
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.178963203
0.07424594,0.166666667,0.333333333,0.296875,0.5,0.444444444,0.096774194,0.153846154,0.193548387,0.247979556,0.378171568,0.685714286,0.1,0.073298429,0.030332414,0.40066359,0.306930693,0.083333333,0.3125,0,0,0,0,0,3.172194123,0.356193942
0.013921114,0.166666667,0,0.109375,0,0,0.050691244,0.307692308,0,0.026172775,0.274242396,0.793469388,0.003703704,0.057591623,0,0,0,0,0,0,0,0,0,0,1.521011862,0.106542244
0.002320186,0,0.333333333,0.0625,0,0.111111111,0.129032258,0.346153846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.638296888,0.275470963
0.067285383,0.166666667,0,0.265625,0,0.333333333,0.179723502,0.5,0.225806452,0.071318638,0.477268939,0.727346939,0.018518519,0.057591623,0,0,0,0,0,0,0,0,0,0,2.43977476,0.245455266
0.099767981,0,0.333333333,0.28125,0,0.222222222,0.165898618,0.346153846,0.129032258,0.19598479,0.283131662,0.674788069,0.048148148,0.146596859,0,0,0,0,0,0,0,0,0,0,2.360731554,0.233504271
0.016241299,0,0.333333333,0.078125,0,0.111111111,0.331797235,0.538461538,0.032258065,0.280860252,0.455357468,0.634040816,0.111111111,0.151832461,0,0,0,0,0,0,0,0,0,0,1.987964975,0.177143558
0,0,0,0,0,0.055555556,0.023041475,0.153846154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.07859703,0.190846738
0,0,0,0.140625,0,0.055555556,0.023041475,0.192307692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.21922203,0.212108636
0.255220418,0.166666667,0.666666667,0.3125,0,0.222222222,0,0.038461538,0.064516129,0.213770252,0.391069841,0.550089106,0.262962963,0.418848168,0.022731634,0.174350384,0.196369637,0.5,0.4375,0,0,0,0,0,2.923932744,0.318657883
0.025522042,0,0.333333333,0.140625,0,0.222222222,0.004608295,0.038461538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.726310892,0.288778304
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.178963203
0.222737819,0,0.333333333,0.765625,0.5,0.166666667,0.230414747,0.5,0.387096774,0.2490509,0.297928591,0.537414966,0.3,0.22513089,0.015166207,0.079609754,0.301980198,0.166666667,0.3125,0,0,0,0,0,3.819408474,0.454049984
0.009280742,0,0.333333333,0.28125,0.5,0.111111111,0.221198157,0.346153846,0.225806452,0.043519847,0.188913168,0.672244898,0.007407407,0.010471204,0,0,0,0,0,0,0,0,0,0,2.96621505,0.325050787
0.236658933,0,0,0.578125,0,0.277777778,0.460829493,0.423076923,0.387096774,0.172045315,0.30687527,0.659650146,0.103703704,0.109947644,0.018196418,0,0.326732673,0.166666667,0,0.33338887,0.388595512,0.5,0.034482759,0.007142857,3.108792517,0.34660789
0,0,0.333333333,0.15625,0,0.166666667,0.142857143,0.269230769,0.096774194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.895881336,0.31441663
0.86774942,0.166666667,0.333333333,0.96875,0.5,0.444444444,0.244239631,0.615384615,0.483870968,0.180523874,0.305521102,0.608489796,1,1,0.037375972,0.108915801,0.276127613,0.75,0.6875,0,0,0,0,0,5.220040793,0.665819602
0.273781903,0,0,0.921875,1,0.111111111,0.493087558,0.384615385,0.806451613,0.171882382,0.26203311,0.515265306,0.166666667,0.314136126,0.038392776,0.140590653,0.316831683,0.25,0.1875,0,0,0,0,0,4.919159496,0.620327636
0,0,0,0.15625,0,0.055555556,0.059907834,0.230769231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.27171339,0.220045105
0.062645012,0,0,0.46875,0.5,0.166666667,0.096774194,0.346153846,0.032258065,0.415843812,0.486115998,0.933493397,0.062962963,0.020942408,0,0,0,0,0,0.536033966,1,0.73374788,1,1,1.977756727,0.175600115
0.002320186,0,0,0.078125,0,0.222222222,0.110599078,0.384615385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.413266486,0.241447328
0,0,0.333333333,0.03125,0,0,0.059907834,0.307692308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.424491167,0.243144452
0,0,0.333333333,0,0,0,0.050691244,0.307692308,0.032258065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.416282642,0.241903358
0.067285383,0.166666667,0,0.171875,0,0.055555556,0.00921659,0.153846154,0.032258065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.502857259,0.25499307
0.118329466,0,0.666666667,0.5,0.5,0.388888889,0.013824885,0.076923077,0.451612903,0.172175123,0.383738778,0.581877551,0.037037037,0.282722513,0.126268901,0.456217218,0.465346535,0.25,0.8125,0,0,0,0,0,3.885270136,0.464007986
0.013921114,0,0.333333333,0.0625,0,0.055555556,0.188940092,0.384615385,0,0.026172775,0.194468621,0.859591837,0.003703704,0.010471204,0,0,0,0,0,0,0,0,0,0,1.768485483,0.143959198
0,0,0,0.046875,0,0.166666667,0.179723502,0.230769231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.393265169,0.238423215
0.004640371,0.166666667,0.666666667,0.234375,0,0.277777778,0.087557604,0.269230769,0.064516129,0.336580777,0.367463744,0.637040816,0.266666667,0.434554974,0,0,0,0,0,0,0,0,0,0,2.528578622,0.25888203
0.004640371,0,0.333333333,0.015625,0,0,0.082949309,0.461538462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.436548013,0.244967396
0.002320186,0,0.333333333,0,0,0,0.02764977,0.192307692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.363303289,0.233893106
0,0,0,0,0,0,0.01843318,0.038461538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.01843318,0.181750221
0.051044084,0,0.333333333,0.6875,1,0.5,1,0.884615385,0.903225806,0.211687948,0.273171132,0.687825475,0.107407407,0.183246073,0,0,0,0,0,0,0,0,0,0,5.575589801,0.719577091
0.129930394,0.333333333,0.333333333,0.671875,1,0.222222222,0.921658986,0.846153846,0.483870968,0.126095967,0.20416983,0.65755102,0.022222222,0.041884817,0,0.112039354,0,0,0.125,0,0,0,0,0,5.31257725,0.679810718
0.030162413,0,0.333333333,0.375,0,0.111111111,0.092165899,0.846153846,0.064516129,0.080013912,0.595235009,0.996244898,0.018518519,0.036649215,0,0,0,0,0,0,0,0,0,0,1.930030075,0.168384049
0.002320186,0,0.333333333,0,0,0,0.013824885,0.153846154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.349478404,0.231802843
0,0,0.333333333,0.015625,0,0.055555556,0.046082949,0.423076923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.450596838,0.247091518
0,0,0.333333333,0.015625,0,0,0.050691244,0.153846154,0,0.086996218,0.555600822,0.892653061,0.007407407,0.005235602,0,0,0,0,0,0,0,0,0,0,1.420000299,0.091269728
0,0,0.333333333,0.015625,0,0,0.013824885,0.076923077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.362783218,0.233814474
0.526682135,0.166666667,0.333333333,0.4375,0,0.277777778,0.129032258,0.423076923,0.193548387,0.143878838,0.292687562,0.565976676,0.103703704,0.09947644,0,0,0,0,0,0,0,0,0,0,3.354685044,0.383785789
0.044083527,0.833333333,0.666666667,0.484375,0,0.5,0.202764977,0.5,0.35483871,0.086957572,0.420936649,0.690612245,0.066666667,0.068062827,0,0,0,0,0,0,0,0,0,0,4.308492397,0.527997382
0.004640371,0,0,0.0625,0,0,0.046082949,0.346153846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.113223321,0.196082085
0.178654292,0.833333333,0,0.53125,0.5,0.611111111,0.529953917,0.461538462,0.483870968,0.100205957,0.362569309,0.638158519,0.159259259,0.09947644,0.006090725,0.155249827,0.227722772,0.083333333,0.3125,0,0,0,0,0,4.929809146,0.621937818
0.006960557,0,0.666666667,0.046875,0,0,0.01843318,0.076923077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.738935403,0.290687076
0.009280742,0,0.333333333,0.046875,0,0,0.01843318,0.076923077,0,0,0.388909465,0,0,0.010471204,0,0,0,0,0,0,0,0,0,0,2.407922256,0.240639303
0,0.166666667,0.666666667,0.25,0,0.111111111,0.078341014,0.615384615,0.064516129,0,0,0,0,0,0.070913003,0.492045318,0.417821782,0.416666667,0.1875,0,0,0,0,0,3.337301587,0.381157484
0.002320186,0,0,0.03125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.033570186,0.184038871
0.002320186,0,0,0.078125,0,0,0.096774194,0.461538462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.177219379,0.205758015
0.587006961,0.5,1,0.546875,0.5,0.666666667,0.133640553,0.423076923,0.451612903,0.124287376,0.316414511,0.674974724,0.403703704,0.471204188,0,0,0,0,0,0,0,0,0,0,5.586539983,0.721232712
0,0,0.333333333,0.015625,0,0,0,0,0,0.260945176,0.555600822,0.462857143,0.003703704,0.005235602,0,0,0,0,0,0,0,0,0,0,1.625156014,0.122288395
0,0,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.333333333,0.229361777
0,0,0,0.03125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.03125,0.183688069
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.178963203
0.009280742,0,0,0.046875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.056155742,0.187453711
0.002320186,0,0,0.046875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.049195186,0.186401304
0.955916473,0.666666667,1,0.765625,0,0.611111111,0.096774194,0.576923077,0.322580645,0.235785865,0.368287943,0.648920151,0.762962963,0.821989529,0.06363696,0.136191612,0.400165017,1,0.5625,0,0,0,0,0,5.533968074,0.713284064
0.141531323,0.5,0,0.375,0.5,0.333333333,0.01843318,0.192307692,0.129032258,0.139858182,0.3323371,0.605853659,0.151851852,0.146596859,0.104275077,0.500849257,0.223222322,0.916666667,0.0625,0,0,0,0,0,3.251618253,0.368202531
0.120649652,0.166666667,0.333333333,0.203125,0,0.277777778,0.248847926,0.076923077,0.193548387,0.093913308,0.418051286,0.681061224,0.074074074,0.083769634,0,0,0,0,0,0,0,0,0,0,2.768974211,0.295228815
0.013921114,0,0,0.078125,0,0.111111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.203157225,0.209679706
