전월세구분,dong,도로명,본번,부번,전용면적(㎡),계약년월,계약일,보증금(만원),월세(만원),층,건축년도,loc,x,y,번지,번지.1,번지.1.1,번지
월세,삼천동1가,거마서로 56,210.0,0.0,80.28,202103.0,21.0,1000.0,65.0,1.0,2017.0,전북 전주시 삼천동1가 거마서로 56,127.119996156,35.797489932,1,1,1,1
월세,삼천동1가,난전들로 245-37,417.0,4.0,58.34279999999999,202040.66666666663,18.0,3233.333333333333,33.333333333333336,1.6666666666666667,2013.0,전북 전주시 삼천동1가 난전들로 245-37,127.11407736700001,35.789646713,3,3,3,3
월세,삼천동1가,안행3길 9-3,749.0,6.0,44.29,202103.0,5.0,1000.0,30.0,3.0,2005.0,전북 전주시 삼천동1가 안행3길 9-3,127.13128571600001,35.799985165,1,1,1,1
월세,삼천동1가,안행3길 9-7,749.0,4.0,48.95,202012.0,7.0,8000.0,10.0,2.0,2005.0,전북 전주시 삼천동1가 안행3길 9-7,127.13159754799999,35.800115718,1,1,1,1
월세,삼천동2가,계룡산길 71,339.0,0.0,84.7728,202007.0,21.0,1000.0,55.0,3.0,2017.0,전북 전주시 삼천동2가 계룡산길 71,127.106112098,35.787467926,2,2,2,2
월세,서서학동,장승배기8길 8,366.0,1.0,84.19,202010.0,19.0,1000.0,30.0,3.0,1981.0,전북 전주시 서서학동 장승배기8길 8,127.147427452,35.803364198000004,1,1,1,1
월세,서신동,안터4길 10,242.0,7.0,59.49,202006.0,5.0,900.0,25.0,2.0,1991.0,전북 전주시 서신동 안터4길 10,127.118142385,35.82990570000001,1,1,1,1
월세,서신동,안터4길 7,245.0,45.0,55.69,202103.0,6.0,5500.0,6.0,2.0,2005.0,전북 전주시 서신동 안터4길 7,127.11831318700001,35.829303851,1,1,1,1
월세,중인동,중인1길 136-12,801.0,1.0,68.04,202005.0,6.0,1750.0,49.0,3.5,2016.0,전북 전주시 중인동 중인1길 136-12,127.093617616,35.768232453,2,2,2,2
월세,중인동,중인1길 136-3,816.0,0.0,84.6775,202010.0,9.5,7000.0,22.5,2.0,2016.0,전북 전주시 중인동 중인1길 136-3,127.093078513,35.766813674,4,4,4,4
월세,중인동,중인2길 16-4,893.0,2.0,71.89,202006.0,12.0,2000.0,50.0,3.0,2015.0,전북 전주시 중인동 중인2길 16-4,127.09188077399999,35.765889185,1,1,1,1
월세,중화산동1가,강당4길 6,162.0,12.0,19.2,202005.0,28.0,200.0,21.0,2.0,2003.0,전북 전주시 중화산동1가 강당4길 6,127.133951501,35.813289388,1,1,1,1
월세,중화산동1가,선너머2길 26-21,227.0,7.0,30.375,202010.0,13.0,300.0,26.0,1.0,2003.0,전북 전주시 중화산동1가 선너머2길 26-21,127.12903733700001,35.814182435,1,1,1,1
월세,중화산동1가,선너머3길 14-7,285.0,0.0,25.92,202101.0,19.0,200.0,22.0,1.0,2002.0,전북 전주시 중화산동1가 선너머3길 14-7,127.13079954700001,35.814102012,1,1,1,1
월세,중화산동1가,선너머4길 19-1,292.0,21.0,48.1405,202012.0,16.0,500.0,30.0,4.0,2006.0,전북 전주시 중화산동1가 선너머4길 19-1,127.13183677299999,35.81427798,1,1,1,1
월세,중화산동1가,선너머4길 9-16,315.0,2.0,29.85,202006.0,20.0,200.0,25.0,2.0,2002.0,전북 전주시 중화산동1가 선너머4길 9-16,127.13171963200001,35.813759423,1,1,1,1
월세,중화산동2가,메너머1길 26-6,574.0,0.0,43.5,202102.0,6.0,2000.0,10.0,5.0,1997.0,전북 전주시 중화산동2가 메너머1길 26-6,127.120029876,35.821286304000004,1,1,1,1
월세,중화산동2가,메너머2길 25-12,707.0,8.0,25.2,202005.0,30.0,500.0,280.0,2.0,1997.0,전북 전주시 중화산동2가 메너머2길 25-12,127.119693866,35.821440192,1,1,1,1
월세,중화산동2가,선너머2길 26-5,24.0,3.0,28.16,202009.0,20.0,100.0,27.0,1.0,2003.0,전북 전주시 중화산동2가 선너머2길 26-5,127.128776181,35.814285731,1,1,1,1
월세,중화산동2가,신촌2길 8-20,401.0,47.0,131.17,202102.0,26.0,1000.0,50.0,4.0,2003.0,전북 전주시 중화산동2가 신촌2길 8-20,127.117509127,35.815150094,1,1,1,1
월세,중화산동2가,영선로 14-14,260.0,4.0,78.645,202008.0,25.0,500.0,55.0,2.0,2017.0,전북 전주시 중화산동2가 영선로 14-14,127.125097771,35.82239992,1,1,1,1
월세,중화산동2가,영선로 14-19,260.0,0.0,74.583,202056.0,12.0,6000.0,42.5,3.5,2016.0,전북 전주시 중화산동2가 영선로 14-19,127.1257123,35.822718767,2,2,2,2
월세,중화산동2가,인정4길 16-4,581.0,1.0,25.0,202103.0,19.0,100.0,30.0,4.0,2005.0,전북 전주시 중화산동2가 인정4길 16-4,127.121700137,35.820212237,1,1,1,1
월세,중화산동2가,인정4길 18,580.0,0.0,31.985,202005.0,12.5,5000.0,10.0,2.0,2006.0,전북 전주시 중화산동2가 인정4길 18,127.122114256,35.820448745,2,2,2,2
월세,중화산동2가,중산5길 4-2,624.0,1.0,35.89,202103.0,2.0,200.0,32.0,3.0,2004.0,전북 전주시 중화산동2가 중산5길 4-2,127.120662918,35.815767863000005,1,1,1,1
월세,중화산동2가,중산5길 8-15,626.0,9.0,28.0,202006.0,10.0,300.0,35.0,3.0,2005.0,전북 전주시 중화산동2가 중산5길 8-15,127.121326697,35.814866995,1,1,1,1
월세,중화산동2가,중산7길 4,610.0,3.0,35.0,202055.5,11.5,2050.0,22.5,3.0,1997.0,전북 전주시 중화산동2가 중산7길 4,127.11988048299999,35.817912524,2,2,2,2
월세,중화산동2가,중화산로 138-28,703.0,3.0,17.766666666666666,202008.0,15.666666666666664,2433.333333333333,5.666666666666668,2.0,2003.0,전북 전주시 중화산동2가 중화산로 138-28,127.120294984,35.822640958,3,3,3,3
월세,중화산동2가,화산천변3길 19-4,765.0,2.0,35.185,202103.0,18.0,300.0,30.0,1.0,2003.0,전북 전주시 중화산동2가 화산천변3길 19-4,127.114074316,35.820171152,1,1,1,1
월세,평화동1가,꽃밭정4길 22,592.0,64.0,88.20205,202006.5,5.5,9250.0,17.0,4.5,2013.0,전북 전주시 평화동1가 꽃밭정4길 22,127.13480176700001,35.798081178000004,2,2,2,2
월세,평화동1가,덕적골1길 70,498.0,0.0,81.63775,202056.0,14.5,3250.0,45.0,2.75,2017.0,전북 전주시 평화동1가 덕적골1길 70,127.140877228,35.791785698000005,4,4,4,4
월세,평화동1가,맏내3길 14-10,704.0,2.0,26.46,202012.0,3.0,200.0,22.0,4.0,2001.0,전북 전주시 평화동1가 맏내3길 14-10,127.13055246,35.793217573,1,1,1,1
월세,평화동1가,장승배기1길 22-1,382.0,5.0,73.265,202010.5,10.5,7000.0,27.0,3.0,2013.0,전북 전주시 평화동1가 장승배기1길 22-1,127.13977309299999,35.800258819,2,2,2,2
월세,평화동1가,평화15길 7,746.0,4.0,57.28717142857143,202034.57142857145,19.285714285714285,3550.285714285714,9.571428571428571,4.0,2019.0,전북 전주시 평화동1가 평화15길 7,127.136924044,35.791874014,7,7,7,7
월세,효자동1가,백제대로 162,165.0,1.0,77.04,202009.0,18.0,2000.0,25.0,1.0,1983.0,전북 전주시 효자동1가 백제대로 162,127.123962547,35.807489311,1,1,1,1
월세,효자동1가,백제대로 165-24,325.0,0.0,49.5,202009.0,5.0,3000.0,10.0,1.0,1983.0,전북 전주시 효자동1가 백제대로 165-24,127.120399656,35.808276885,1,1,1,1
월세,효자동1가,안행로 114,59.0,15.0,89.49,202009.0,1.0,2000.0,30.0,2.0,1991.0,전북 전주시 효자동1가 안행로 114,127.134752158,35.806582014,1,1,1,1
월세,효자동1가,오두정1길 26,385.0,4.0,65.46,202007.0,14.0,6000.0,20.0,3.0,1985.0,전북 전주시 효자동1가 오두정1길 26,127.11687414200001,35.807410546,1,1,1,1
월세,효자동1가,효동3길 17-5,802.0,0.0,59.9253,202008.0,9.666666666666666,9000.0,27.33333333333333,4.333333333333333,2014.0,전북 전주시 효자동1가 효동3길 17-5,127.129611626,35.805314521999996,3,3,3,3
월세,효자동2가,우전2길 41,157.0,2.0,71.35,202101.0,21.0,1000.0,40.0,3.0,1996.0,전북 전주시 효자동2가 우전2길 41,127.10708478299999,35.808008705,1,1,1,1
월세,효자동3가,백마산길 112,1059.0,1.0,31.2,202038.0,20.666666666666668,766.6666666666665,21.66666666666667,2.333333333333333,1998.0,전북 전주시 효자동3가 백마산길 112,127.08613674200001,35.820340968000004,3,3,3,3
전세,남노송동,마당재2길 42-4,160.0,1.0,49.52,202008.0,26.0,7000.0,0.0,3.0,2011.0,전북 전주시 남노송동 마당재2길 42-4,127.159097448,35.82082986,1,1,1,1
전세,삼천동1가,거마서로 56,210.0,0.0,80.72,202010.0,14.0,18000.0,0.0,1.0,2017.0,전북 전주시 삼천동1가 거마서로 56,127.119996156,35.797489932,1,1,1,1
전세,삼천동1가,삼천천변3길 44-38,455.0,4.0,59.89000000000001,202007.33333333328,14.666666666666664,7524.333333333332,0.0,4.666666666666667,2014.0,전북 전주시 삼천동1가 삼천천변3길 44-38,127.113473015,35.797111922,3,3,3,3
전세,삼천동2가,계룡산길 141,463.0,2.0,56.4,202005.0,7.0,9000.0,0.0,3.0,2015.0,전북 전주시 삼천동2가 계룡산길 141,127.105019015,35.78219802,1,1,1,1
전세,삼천동2가,계룡산길 71,339.0,0.0,84.7728,202041.0,15.0,18666.666666666668,0.0,2.333333333333333,2017.0,전북 전주시 삼천동2가 계룡산길 71,127.106112098,35.787467926,3,3,3,3
전세,삼천동2가,비아길 10,443.0,0.0,82.355,202008.5,22.5,14500.0,0.0,2.5,2017.0,전북 전주시 삼천동2가 비아길 10,127.103718696,35.779664025,2,2,2,2
전세,서노송동,반태산1길 42,743.0,11.0,40.09,202103.0,5.0,4500.0,0.0,2.0,2008.0,전북 전주시 서노송동 반태산1길 42,127.14838902,35.829312655,1,1,1,1
전세,서서학동,서학1길 9,148.0,4.0,51.84,202011.0,9.0,5000.0,0.0,4.0,2004.0,전북 전주시 서서학동 서학1길 9,127.149911344,35.805178518000005,1,1,1,1
전세,서서학동,서학2길 18,231.0,4.0,24.0,202010.0,12.0,3500.0,0.0,4.0,2008.0,전북 전주시 서서학동 서학2길 18,127.150799691,35.805582088,1,1,1,1
전세,서서학동,장승배기7길 18,21.0,1.0,78.01,202011.0,11.0,6000.0,0.0,1.0,1989.0,전북 전주시 서서학동 장승배기7길 18,127.14506806,35.802840344,1,1,1,1
전세,서서학동,흑석1길 32,968.0,3.0,57.52,202008.0,4.0,4489.0,0.0,4.0,2012.0,전북 전주시 서서학동 흑석1길 32,127.14987936,35.800731256,1,1,1,1
전세,서신동,감나무로 21,214.0,32.0,22.82,202103.0,15.0,2000.0,0.0,1.0,2002.0,전북 전주시 서신동 감나무로 21,127.12032200600001,35.829438191,2,2,2,2
전세,서완산동1가,완산4길 14,319.0,3.0,84.12,202103.0,12.0,5000.0,0.0,3.0,1993.0,전북 전주시 서완산동1가 완산4길 14,127.14126473600001,35.810972881,1,1,1,1
전세,중인동,중인2길 16-4,893.0,2.0,71.89,202008.0,15.0,10000.0,0.0,2.0,2015.0,전북 전주시 중인동 중인2길 16-4,127.09188077399999,35.765889185,1,1,1,1
전세,중화산동1가,강당2길 35-61,161.0,49.0,55.16333333333333,202086.33333333328,15.666666666666664,5993.5,0.0,3.5,2012.0,전북 전주시 중화산동1가 강당2길 35-61,127.13307036399999,35.811382916,6,6,6,6
전세,중화산동2가,메너머1길 10-30,572.0,3.0,44.552,202083.4,14.2,6600.0,0.0,3.0,2002.0,전북 전주시 중화산동2가 메너머1길 10-30,127.121912508,35.821539406,5,5,5,5
전세,중화산동2가,메너머2길 10-4,699.0,7.0,33.51,202103.0,25.0,4000.0,0.0,2.0,2006.0,전북 전주시 중화산동2가 메너머2길 10-4,127.12181447799999,35.822716657,1,1,1,1
전세,중화산동2가,메너머2길 21-12,574.0,1.0,28.08,202008.0,10.0,3000.0,0.0,3.0,1997.0,전북 전주시 중화산동2가 메너머2길 21-12,127.120232285,35.821251754,1,1,1,1
전세,중화산동2가,신촌2길 9,444.0,4.0,39.35,202012.0,15.0,6000.0,0.0,3.0,2012.0,전북 전주시 중화산동2가 신촌2길 9,127.11723836200001,35.81402739,1,1,1,1
전세,중화산동2가,영선로 14-14,260.0,4.0,78.375,202008.0,19.75,12250.0,0.0,4.0,2017.0,전북 전주시 중화산동2가 영선로 14-14,127.125097771,35.82239992,4,4,4,4
전세,중화산동2가,영선로 14-19,260.0,0.0,81.918,202065.0,16.4,19200.0,0.0,3.4,2016.0,전북 전주시 중화산동2가 영선로 14-19,127.1257123,35.822718767,5,5,5,5
전세,중화산동2가,영선로 38-7,836.0,3.0,136.80200000000002,202009.0,4.5,37500.0,0.0,2.5,2015.0,전북 전주시 중화산동2가 영선로 38-7,127.12634780799999,35.823378084,2,2,2,2
전세,중화산동2가,중산7길 4,610.0,3.0,35.0,202008.0,24.0,4000.0,0.0,4.0,1997.0,전북 전주시 중화산동2가 중산7길 4,127.11988048299999,35.817912524,1,1,1,1
전세,중화산동2가,중화산로 138-28,703.0,3.0,17.63,202007.0,4.0,2500.0,0.0,2.0,2003.0,전북 전주시 중화산동2가 중화산로 138-28,127.120294984,35.822640958,1,1,1,1
전세,평화동1가,꽃밭정4길 22,592.0,64.0,88.20205,202056.0,24.5,12500.0,0.0,2.5,2013.0,전북 전주시 평화동1가 꽃밭정4길 22,127.13480176700001,35.798081178000004,2,2,2,2
전세,평화동1가,덕적골1길 70,498.0,0.0,84.9,202103.0,2.0,19000.0,0.0,3.0,2017.0,전북 전주시 평화동1가 덕적골1길 70,127.140877228,35.791785698000005,1,1,1,1
전세,평화동1가,장승배기1길 22-1,382.0,5.0,67.7,202008.0,27.0,12500.0,0.0,5.0,2013.0,전북 전주시 평화동1가 장승배기1길 22-1,127.13977309299999,35.800258819,1,1,1,1
전세,평화동2가,맏내로 157-13,600.0,3.0,58.6285,202069.0,12.333333333333336,6405.666666666668,0.0,3.0,2013.0,전북 전주시 평화동2가 맏내로 157-13,127.127198384,35.793275896,3,3,3,3
전세,평화동2가,맏내로 157-9,600.0,13.0,49.233,202006.0,5.5,5115.5,0.0,3.5,2013.0,전북 전주시 평화동2가 맏내로 157-9,127.12753996,35.79319524,2,2,2,2
전세,평화동2가,양지3길 26,716.0,14.0,115.31,202008.0,13.0,10500.0,0.0,1.0,2004.0,전북 전주시 평화동2가 양지3길 26,127.119338271,35.788693865,1,1,1,1
전세,효자동1가,백제대로 165-24,325.0,0.0,49.5,202102.0,23.5,5000.0,0.0,2.0,1983.0,전북 전주시 효자동1가 백제대로 165-24,127.120399656,35.808276885,2,2,2,2
전세,효자동1가,오두정1길 26,385.0,4.0,65.46,202007.0,16.0,7700.0,0.0,1.0,1985.0,전북 전주시 효자동1가 오두정1길 26,127.11687414200001,35.807410546,2,2,2,2
전세,효자동1가,효동2길 34,220.0,17.0,75.09,202006.0,1.0,7000.0,0.0,1.5,1989.0,전북 전주시 효자동1가 효동2길 34,127.12586602299999,35.803554334,2,2,2,2
전세,효자동1가,효동3길 17-5,802.0,0.0,56.43303333333333,202038.66666666663,11.333333333333336,12333.333333333336,0.0,3.333333333333333,2014.0,전북 전주시 효자동1가 효동3길 17-5,127.129611626,35.805314521999996,3,3,3,3
전세,효자동1가,효동3길 17-6,803.0,0.0,59.10596666666667,202069.0,11.0,12000.0,0.0,3.0,2014.0,전북 전주시 효자동1가 효동3길 17-6,127.129607339,35.804889664,3,3,3,3
전세,효자동3가,강변로 272,37.0,1.0,74.7,202005.0,11.0,7000.0,0.0,1.0,1983.0,전북 전주시 효자동3가 강변로 272,127.113137098,35.814103921,1,1,1,1
전세,효자동3가,배학3길 15-2,1670.0,13.0,74.81,202004.0,29.0,10000.0,0.0,3.0,2011.0,전북 전주시 효자동3가 배학3길 15-2,127.09517302299999,35.81976559,1,1,1,1
전세,효자동3가,배학3길 15-6,1670.0,15.0,74.81,202102.0,8.0,15000.0,0.0,2.0,2011.0,전북 전주시 효자동3가 배학3길 15-6,127.09511192299999,35.81947948,1,1,1,1
전세,효자동3가,백마산길 112,1059.0,1.0,31.2,202012.0,4.0,4000.0,0.0,2.0,1998.0,전북 전주시 효자동3가 백마산길 112,127.08613674200001,35.820340968000004,1,1,1,1
전세,효자동3가,서원로 171-3,37.0,12.0,57.02,202004.0,22.0,2500.0,0.0,1.0,1987.0,전북 전주시 효자동3가 서원로 171-3,127.113196872,35.813855331999996,1,1,1,1
전세,효자동3가,홍산북로 75,1530.0,8.0,49.13500000000001,202004.0,1.0,6500.0,0.0,6.0,2011.0,전북 전주시 효자동3가 홍산북로 75,127.110179427,35.81761812,2,2,2,2
